GEOID,bucket,populationCount,type_of_data
060750106003005,Under 5 years,50,age
060750106003005,5 to 9 years,35,age
060750106003005,10 to 14 years,21,age
060750106003005,20 to 24 years,99,age
060750106003005,35 to 44 years,72,age
060750106003005,45 to 54 years,108,age
060750106003005,55 to 64 years,186,age
060750106003005,65 to 74 years,58,age
060750106003005,75 to 84 years,33,age
060750106003005,85 years and over,92,age
060750106003005,15 to 17 years,25,age
060750106003005,18 and 19 years,8,age
060750106003005,25 to 29 years,141,age
060750106003005,30 to 34 years,170,age
060750106003005,Male,701,gender
060750106003005,Female,397,gender
060750106003005,Less than 9th grade,106,education
060750106003005,"9th to 12th grade, no diploma",56,education
060750106003005,High school graduate (includes equivalency),90,education
060750106003005,"Some college, no degree",219,education
060750106003005,Associate's degree,28,education
060750106003005,Bachelor's degree,118,education
060750106003005,Graduate or professional degree,243,education
060750106003005,"Less than $10,000",1,income
060750106003005,"$10,000 to $14,999",50,income
060750106003005,"$15,000 to $19,999",76,income
060750106003005,"$20,000 to $24,999",19,income
060750106003005,"$25,000 to $29,999",19,income
060750106003005,"$30,000 to $34,999",0,income
060750106003005,"$35,000 to $39,999",43,income
060750106003005,"$40,000 to $44,999",0,income
060750106003005,"$45,000 to $49,999",2,income
060750106003005,"$50,000 to $59,999",14,income
060750106003005,"$60,000 to $74,999",11,income
060750106003005,"$75,000 to $99,999",103,income
060750106003005,"$100,000 to $124,999",69,income
060750106003005,"$125,000 to $149,999",14,income
060750106003005,"$150,000 to $199,999",0,income
060750106003005,"$200,000 or more",95,income
060750106003005,"Management, business, science, and arts occupations",793,profession
060750106003005,Service occupations,198,profession
060750106003005,Sales and office occupations,40,profession
060750106003005,"Natural resources, construction, and maintenance occupations",90,profession
060750106003005,"Production, transportation, and material moving occupations",19,profession
060750106003005,Asian (Non-Hispanic),828,race_ethnicity
060750106003005,White (Non-Hispanic),107,race_ethnicity
060750106003005,Hispanic or Latino,60,race_ethnicity
060750106003005,Two or More Races (Non-Hispanic),52,race_ethnicity
060750106003005,Black or African American (Non-Hispanic),40,race_ethnicity
060750106003005,Some Other Race (Non-Hispanic),11,race_ethnicity
